SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;Regione;Comments
2147;RIO ARNO a P.TE RIO ARNO;5360;OD:5360;42,55416667;13,54805556;520;Italia;Abruzzo;Quota ricavata da dem
2149;MAVONE ad ISOLA  DEL GRAN SASSO;5380;OD:5380;42,5;13669;497;Italia;Abruzzo;Quota ricavata da dem
2150;RUZZO a PRETARA;5390;OD:5390;42,48333333;13669;616;Italia;Abruzzo;Quota ricavata da dem
2151;CASAMAINA;540;OD:540;42,2575;13,38575;1442;Italia;Abruzzo;Quota ricavata da dem
2152;RUZZO ad ISOLA  DEL GRAN SASSO;5400;OD:5400;42,5;13669;497;Italia;Abruzzo;Quota ricavata da dem
2153;VOMANO a BASCIANO;5408;OD:5408;42,61222222;13715;214;Italia;Abruzzo;Quota ricavata da dem
2154;VOMANO a PONTE  VOMANO;5410;OD:5410;42,60916667;13,75244444;158;Italia;Abruzzo;Quota ricavata da dem
2155;VOMANO a VILLA VOMANO;5430;OD:5430;42,6;13,75233333;181;Italia;Abruzzo;Quota ricavata da dem
2156;VOMANO a FONTANELLE  DI ATRI;5440;OD:5440;42,62416667;13,92111111;58;Italia;Abruzzo;Quota ricavata da dem
2157;L'AQUILA CF;545;OD:545;42,35666667;13,37444444;631;Italia;Abruzzo;Quota ricavata da dem
2158;ROCCA S. MARIA fr.IMPOSTA;55;OD:55;42,68833333;13,52583333;1004;Italia;Abruzzo;Quota ricavata da dem
2159;L'AQUILA;550;OD:550;42,33416667;13,42861111;618;Italia;Abruzzo;Quota ricavata da dem
2160;PIOMBA a SILVI;5590;OD:5590;42,52805556;14,12833333;8;Italia;Abruzzo;Quota ricavata da dem
2161;TAVO a MOLINO CRETARA;5638;OD:5638;42,43333333;13919;261;Italia;Abruzzo;Quota ricavata da dem
2162;TAVO A LORETO APRUTINO;5639;OD:5639;42,42166667;13,93583333;223;Italia;Abruzzo;Quota ricavata da dem
2163;TAVO a S.PELLEGRINO;5640;OD:5640;42,41666667;13,93566667;223;Italia;Abruzzo;Quota ricavata da dem
2164;FINO A PICCIANO;5675;OD:5675;42,49083333;13,99027778;99;Italia;Abruzzo;Quota ricavata da dem
2165;SALINE A VILLA CARMINE;5678;OD:5678;42,50222222;14,12;15;Italia;Abruzzo;Quota ricavata da dem
2166;ATERNO a TRE PONTI;5710;OD:5710;42,47638889;13,25805556;1063;Italia;Abruzzo;Quota ricavata da dem
2167;ATERNO a L'AQUILA;5730;OD:5730;42,35055556;13,38055556;630;Italia;Abruzzo;Quota ricavata da dem
2168;ATERNO A FAGNANO;5750;OD:5750;42,24805556;13,56722222;620;Italia;Abruzzo;Quota ricavata da dem
2169;ATERNO a MOLINA;5770;OD:5770;42,13722222;13,75305556;641;Italia;Abruzzo;Quota ricavata da dem
2170;CAMPO IMPERATORE;580;OD:580;42,44388889;13,55777778;2190;Italia;Abruzzo;Quota ricavata da dem
2171;TASSO a SCANNO;5800;OD:5800;41,9175;13,87194444;1054;Italia;Abruzzo;Quota ricavata da dem
2172;LAGO di SCANNO a SCANNO  (MADONNA del LAGO);5810;OD:5810;41,91833333;13,86902778;1054;Italia;Abruzzo;Quota ricavata da dem
2173;SAGITTARIO a VILLALAGO;5820;OD:5820;41,93833333;13,83566667;943;Italia;Abruzzo;Quota ricavata da dem
2174;CAMPO IMPERATORE (SIAP);585;OD:585;42,45;13569;2277;Italia;Abruzzo;Quota ricavata da dem
2175;SAGITTARIO a CAPO CANALE;5870;OD:5870;42,12333333;13,86638889;273;Italia;Abruzzo;Quota ricavata da dem
2176;ASSERGI;590;OD:590;42,41972222;13,51805556;1038;Italia;Abruzzo;Quota ricavata da dem
2177;aterno sagittario a allogg.idr;5900;OD:5900;42,15638889;13,82972222;248;Italia;Abruzzo;Quota ricavata da dem
2178;PESCARA a MARAONE;5920;OD:5920;42,18;13,83861111;315;Italia;Abruzzo;Quota ricavata da dem
2179;TIRINO a MADONNINA;5940;OD:5940;42,21416667;13,82222222;323;Italia;Abruzzo;Quota ricavata da dem
2180;TIRINO A BUSSI SCALO;5970;OD:5970;42,2;13,85233333;592;Italia;Abruzzo;Quota ricavata da dem
2181;ORFENTO a CARAMANICO;5984;OD:5984;42,16222222;14,00083333;581;Italia;Abruzzo;Quota ricavata da dem
2182;ORTE a MUSELLARO;5988;OD:5988;42,19388889;13,96;366;Italia;Abruzzo;Quota ricavata da dem
2183;ORTE a BOLOGNANO;5990;OD:5990;42,21666667;13,95233333;309;Italia;Abruzzo;Quota ricavata da dem
2184;PAGLIAROLI  (ex CORTINO);60;OD:60;42,63166667;13,54194444;870;Italia;Abruzzo;Quota ricavata da dem
2185;BAZZANO;600;OD:600;42,33333333;13,45233333;603;Italia;Abruzzo;Quota ricavata da dem
2186;LAVINO a SCAFA;6020;OD:6020;42,26444444;14,00238889;113;Italia;Abruzzo;Quota ricavata da dem
2187;PESCARA AD ALANNO;6030;OD:6030;42,27083333;14,01305556;95;Italia;Abruzzo;Quota ricavata da dem
2188;CIGNO A PIANO NUOVO;6050;OD:6050;42,31666667;14,03566667;178;Italia;Abruzzo;Quota ricavata da dem
2189;CIGNO A PONTE ROSCIANO;6060;OD:6060;42,35;14,05233333;94;Italia;Abruzzo;Quota ricavata da dem
2190;NORA A CEPAGATTI;6070;OD:6070;42,35;14,05233333;94;Italia;Abruzzo;Quota ricavata da dem
2191;PESCARA A VILLAREIA;6090;OD:6090;42,34194444;14,11944444;35;Italia;Abruzzo;Quota ricavata da dem
2192;POGGIO PICENZE;610;OD:610;42,31666667;13,55233333;882;Italia;Abruzzo;Quota ricavata da dem
2193;PESCARA a SAMBUCETO;6130;OD:6130;42,41666667;14,15233333;21;Italia;Abruzzo;Quota ricavata da dem
2194;PESCARA a S.TERESA;6140;OD:6140;42,42361111;14,16277778;12;Italia;Abruzzo;Quota ricavata da dem
2195;PESCARA A S.TERESA, VALLE DIGA;6145;OD:6145;42,42611111;14,16638889;11;Italia;Abruzzo;Quota ricavata da dem
2196;ALENTO A RIPA TEATINA;6250;OD:6250;42,37027778;14,23416667;67;Italia;Abruzzo;Quota ricavata da dem
2197;ALENTO a S. LEONARDO;6290;OD:6290;42,42222222;14,27666667;28;Italia;Abruzzo;Quota ricavata da dem
2198;ROCCA DI MEZZO;630;OD:630;42,2025;13,52055556;1296;Italia;Abruzzo;Quota ricavata da dem
2199;FORO a PONTE di VACRI;6320;OD:6320;42,30861111;14,23444444;120;Italia;Abruzzo;Quota ricavata da dem
2201;FORO a TORRE FORO;6390;OD:6390;42,4;14319;1;Italia;Abruzzo;Quota ricavata da dem
2202;FORO a MOLINO GALASSO;6395;OD:6395;42,38694444;14,31833333;46;Italia;Abruzzo;Quota ricavata da dem
2203;BEFFI;640;OD:640;42,19194444;13,67694444;713;Italia;Abruzzo;Quota ricavata da dem
2204;CAMPANA;650;OD:650;42,24777778;13,56722222;620;Italia;Abruzzo;Quota ricavata da dem
